week,Aeropuertos y vuelos,Ley y crimen,La pandemia del COVID-19 y su impacto,La industria petrolera,Economía,Tren Maya,Salud y medicina,Reformas políticas,Fronteras e inmigración,Energía y minería,COVID-19 y su vacunación,Problemas sociales y justicia penal,Deportes y turismo,Relaciones políticas entre México y Perú
2021-05-31,0.02332274,0.029929617,0.05254389,0.09987174,0.07288354,0.06738047,0.025566658,0.12510866,0.03471806,0.03219906,0.3243793,0.029328976,0.05446555,0.028301746
2021-06-07,0.05206047,0.020338131,0.060911085,0.07918571,0.08688846,0.07563968,0.019371897,0.13915622,0.04240755,0.045630112,0.27327514,0.03336963,0.04497638,0.026789563
2021-06-14,0.046340466,0.017449573,0.065009706,0.07899865,0.06705407,0.05274624,0.020826451,0.12339997,0.027955055,0.050950117,0.33882132,0.04265351,0.04718534,0.020609528
2021-06-21,0.030381553,0.030944597,0.0508453,0.087916486,0.068104185,0.074841,0.035251778,0.11614115,0.026732309,0.04388847,0.29402712,0.06379087,0.0579017,0.019233504
2021-06-28,0.036605354,0.046049107,0.058068145,0.08774897,0.08806315,0.038929902,0.052146584,0.09933431,0.033200614,0.03892522,0.31757832,0.044975206,0.04578972,0.012585378
2021-07-05,0.030190583,0.027897594,0.0508321,0.08875773,0.069367774,0.05647876,0.031756364,0.12603387,0.047976952,0.038124114,0.31041816,0.040583074,0.057524428,0.024058508
2021-07-12,0.03188692,0.036193103,0.065567404,0.08262689,0.075817905,0.08681455,0.035996024,0.12522458,0.025691925,0.04078735,0.27873686,0.042913474,0.046015404,0.025727633
2021-07-19,0.021717604,0.044065475,0.055590577,0.085877955,0.074645706,0.060246233,0.058295663,0.10211036,0.01892091,0.07386117,0.28645357,0.0512305,0.05190711,0.015077122
2021-07-26,0.02150339,0.025559615,0.07013162,0.0820009,0.075222805,0.04636281,0.037453443,0.14056627,0.02315813,0.04376249,0.29917684,0.064330675,0.054046083,0.016724892
2021-08-02,0.042984746,0.02544592,0.06214277,0.0944047,0.06928366,0.046695415,0.020520752,0.15332201,0.015489948,0.047729474,0.28733033,0.063581645,0.055583857,0.015484811
2021-08-09,0.026511157,0.022444686,0.07186684,0.11621277,0.08039353,0.04950963,0.025733268,0.11636465,0.02624741,0.021125546,0.3257065,0.0339618,0.06622,0.017702179
2021-08-16,0.029265659,0.024865264,0.05123989,0.09157533,0.051574036,0.07409578,0.056423627,0.14864902,0.031594895,0.03664023,0.26643732,0.05619988,0.058069974,0.02336909
2021-08-23,0.021314403,0.020417798,0.06926436,0.09841233,0.066861816,0.06981204,0.02625744,0.10608307,0.030016175,0.047176164,0.25338882,0.058194574,0.10343166,0.029369367
2021-08-30,0.031016538,0.019687455,0.06146869,0.10314638,0.062334333,0.082095146,0.0424417,0.12317347,0.02037419,0.043027062,0.2831226,0.033515684,0.06770393,0.026892798
2021-09-06,0.068967454,0.0181791,0.059127387,0.10005339,0.06386873,0.09449627,0.025112612,0.12047744,0.04545012,0.035911787,0.20882636,0.056985687,0.08083272,0.021710973
2021-09-13,0.027442534,0.041707464,0.043274067,0.084828444,0.06597391,0.04756016,0.026802931,0.1351807,0.032929756,0.031080341,0.30173224,0.06617661,0.045124955,0.050185908
